n,MotherID,FatherID,Zygosity
100503,200363,300363,NotTwin
100504,200364,300364,NotTwin
100505,200365,300365,NotTwin
100506,200082,300082,NotTwin
100507,200366,300366,NotTwin
100508,200310,300310,NotTwin
100509,200222,300222,MZ
100510,200158,300158,NotMZ
100511,200228,300228,MZ
100512,200256,300256,NotMZ
100513,200367,300367,NotTwin
100514,200123,300123,MZ
100515,200368,300368,NotTwin
100516,200369,300369,MZ
100517,200300,300300,MZ
100518,200370,300370,MZ
100519,200170,300170,NotTwin
100520,200017,300017,NotTwin
100521,200371,300371,NotMZ
100522,200372,300372,NotMZ
100523,200373,300373,MZ
100524,200374,300374,NotMZ
100525,200051,300051,NotMZ
100526,200284,300284,NotTwin
100527,200375,300375,NotMZ
100528,200376,300376,NotMZ
100529,200377,300377,MZ
100530,200314,300314,NotTwin
100531,200211,300211,NotTwin
100532,200305,300305,MZ
100533,200290,300290,MZ
100534,200318,300318,NotMZ
100535,200244,300244,NotTwin
100536,200258,300258,MZ
100537,200059,300059,NotTwin
100538,200378,300378,NotTwin
100539,200379,300379,NotMZ
100540,200380,300380,NotTwin
100541,200381,300381,NotMZ
100542,200098,300098,MZ
100543,200036,300036,NotTwin
100544,200382,300382,NotTwin
100545,200139,300139,MZ
100546,200235,300235,NotMZ
100547,200362,300362,MZ
100548,200344,300344,NotMZ
100549,200067,300067,NotMZ
100550,200383,300383,NotTwin
100551,200274,300274,MZ
100552,200384,300384,NotTwin
100553,200105,300105,MZ
100554,200261,300261,NotTwin
100555,200385,300385,NotTwin
100556,200386,300386,NotTwin
100557,200291,300291,NotTwin
100558,200387,300387,NotTwin
100559,200273,300273,NotTwin
100560,200388,300388,NotMZ
100561,200299,300299,NotTwin
100562,200389,300389,NotTwin
100563,200390,300390,NotMZ
100564,200224,300224,NotMZ
100565,200391,300391,MZ
100566,200203,300203,MZ
100567,200388,300388,NotMZ
100568,200392,300392,NotTwin
100569,200071,300071,MZ
100570,200393,300393,NotMZ
100571,200391,300391,MZ
100572,200394,300394,NotMZ
100573,200395,300395,NotTwin
100574,200396,300396,NotTwin
100575,200397,300397,NotMZ
100576,200398,300398,NotTwin
100577,200399,300399,NotMZ
100578,200400,300400,MZ
100579,200364,300364,NotTwin
100580,200265,300265,NotTwin
100581,200401,300401,NotTwin
100582,200375,300375,NotMZ
100583,200332,300332,MZ
100584,200402,300402,NotTwin
100585,200011,300011,NotTwin
100586,200212,300212,NotTwin
100587,200213,300213,MZ
100588,200403,300403,NotTwin
100589,200055,300055,NotTwin
100590,200369,300369,MZ
100591,200041,300041,NotMZ
100592,200034,300034,MZ
100593,200404,300404,NotTwin
100594,200328,300328,NotMZ
100595,200405,300405,NotTwin
100596,200403,300403,NotTwin
100597,200249,300249,NotTwin
100598,200406,300406,NotMZ
100599,200367,300367,NotTwin
100600,200178,300178,MZ
100601,200407,300407,NotTwin
100602,200408,300408,NotTwin
100603,200409,300409,NotMZ
100604,200129,300129,NotTwin
100605,200124,300124,MZ
100606,200210,300210,NotTwin
100607,200410,300410,MZ
100608,200411,300411,NotTwin
100609,200015,300015,NotTwin
100610,200411,300411,NotTwin
100611,200183,300183,NotMZ
100612,200412,300412,NotMZ
100613,200260,300260,NotMZ
100614,200029,300029,MZ
100615,200088,300088,NotTwin
100616,200056,300056,NotTwin
100617,200413,300413,NotTwin
100618,200395,300395,NotTwin
100619,200153,300153,MZ
100620,200414,300414,NotTwin
100621,200415,300415,MZ
100622,200327,300327,NotTwin
100623,200232,300232,NotTwin
100624,200263,300263,NotMZ
100625,200405,300405,NotTwin
100626,200330,300330,NotTwin
100627,200416,300416,NotMZ
100628,200329,300329,MZ
100629,200236,300236,NotTwin
100630,200077,300077,NotTwin
100631,200417,300417,MZ
100632,200350,300350,MZ
100633,200337,300337,NotTwin
100634,200180,300180,MZ
100635,200218,300218,MZ
100636,200272,300272,NotMZ
100637,200418,300418,NotMZ
100638,200217,300217,NotTwin
100639,200080,300080,NotTwin
100640,200379,300379,NotMZ
100641,200190,300190,NotMZ
100642,200419,300419,NotMZ
100643,200267,300267,NotTwin
100644,200264,300264,NotMZ
100645,200063,300063,NotMZ
100646,200070,300070,NotMZ
100647,200208,300208,MZ
100648,200008,300008,NotMZ
100649,200104,300104,MZ
100650,200414,300414,NotTwin
100651,200420,300420,NotMZ
100652,200128,300128,NotTwin
100653,200255,300255,NotTwin
100654,200386,300386,NotTwin
100655,200421,300421,NotMZ
100656,200422,300422,MZ
100657,200423,300423,NotMZ
100658,200424,300424,NotTwin
100659,200262,300262,NotMZ
100660,200371,300371,NotMZ
100661,200425,300425,MZ
100662,200323,300323,NotTwin
100663,200426,300426,MZ
100664,200427,300427,NotTwin
100665,200428,300428,NotTwin
100666,200062,300062,NotTwin
100667,200127,300127,NotMZ
100668,200353,300353,NotTwin
100669,200429,300429,MZ
100670,200171,300171,NotTwin
100671,200013,300013,NotTwin
100672,200103,300103,MZ
100673,200430,300430,NotMZ
100674,200019,300019,NotMZ
100675,200022,300022,NotMZ
100676,200431,300431,NotTwin
100677,200432,300432,NotTwin
100678,200396,300396,NotTwin
100679,200365,300365,NotTwin
100680,200418,300418,NotMZ
100681,200060,300060,MZ
100682,200294,300294,NotTwin
100683,200325,300325,NotTwin
100684,200433,300433,NotTwin
100685,200348,300348,NotTwin
100686,200277,300277,NotMZ
100687,200175,300175,NotMZ
100688,200354,300354,NotTwin
100689,200392,300392,NotTwin
100690,200176,300176,MZ
100691,200434,300434,NotTwin
100692,200435,300435,NotTwin
100693,200339,300339,MZ
100694,200021,300021,NotTwin
100695,200401,300401,NotTwin
100696,200436,300436,NotTwin
100697,200437,300437,NotTwin
100698,200032,300032,NotMZ
100699,200372,300372,NotMZ
100700,200438,300438,NotTwin
100701,200306,300306,NotTwin
100702,200254,300254,NotTwin
100703,200042,300042,NotTwin
100704,200439,300439,NotTwin
100705,200172,300172,NotTwin
100706,200424,300424,NotTwin
100707,200132,300132,MZ
100708,200436,300436,NotTwin
100709,200243,300243,NotTwin
100710,200099,300099,MZ
100711,200431,300431,NotTwin
100712,200292,300292,NotTwin
100713,200201,300201,NotTwin
100714,200219,300219,NotTwin
100715,200240,300240,NotTwin
100716,200025,300025,NotTwin
100717,200381,300381,NotMZ
100718,200321,300321,NotTwin
100719,200368,300368,NotTwin
100720,200100,300100,NotTwin
100721,200440,300440,NotMZ
100722,200441,300441,NotMZ
100723,200308,300308,NotMZ
100724,200245,300245,NotTwin
100725,200054,300054,MZ
100726,200419,300419,NotMZ
100727,200442,300442,NotTwin
100728,200309,300309,NotTwin
100729,200443,300443,NotTwin
100730,200378,300378,NotTwin
100731,200444,300444,NotTwin
100732,200304,300304,NotTwin
100733,200445,300445,NotMZ
100734,200442,300442,NotTwin
100735,200112,300112,NotTwin
100736,200397,300397,NotTwin
100737,200413,300413,NotTwin
100738,200446,300446,NotTwin
100739,200447,300447,NotTwin
100740,200322,300322,MZ
100741,200398,300398,NotTwin
100742,200448,300448,NotMZ
100743,200449,300449,NotTwin
100744,200356,300356,NotMZ
100745,200380,300380,NotTwin
100746,200450,300450,NotTwin
100747,200383,300383,NotTwin
100748,200259,300259,NotTwin
100749,200334,300334,MZ
100750,200377,300377,MZ
100751,200188,300188,NotTwin
100752,200345,300345,MZ
100753,200351,300351,NotMZ
100754,200121,300121,NotTwin
100755,200231,300231,NotTwin
100756,200319,300319,MZ
100757,200073,300073,MZ
100758,200448,300448,NotMZ
100759,200106,300106,MZ
100760,200361,300361,NotTwin
100761,200086,300086,MZ
100762,200269,300269,NotMZ
100763,200451,300451,NotTwin
100764,200134,300134,NotMZ
100765,200452,300452,NotMZ
100766,200453,300453,NotMZ
100767,200454,300454,NotMZ
100768,200441,300441,NotMZ
100769,200455,300455,NotMZ
100770,200422,300422,MZ
100771,200163,300163,MZ
100772,200438,300438,NotTwin
100773,200221,300221,NotTwin
100774,200215,300215,NotTwin
100775,200370,300370,MZ
100776,200453,300453,NotMZ
100777,200416,300416,NotMZ
100778,200437,300437,NotTwin
100779,200014,300014,NotTwin
100780,200007,300007,NotMZ
100781,200360,300360,NotTwin
100782,200433,300433,NotTwin
100783,200246,300246,MZ
100784,200425,300425,MZ
100785,200456,300456,NotTwin
100786,200457,300457,NotTwin
100787,200152,300152,MZ
100788,200435,300435,NotTwin
100789,200355,300355,NotMZ
100790,200135,300135,NotTwin
100791,200429,300429,MZ
100792,200143,300143,NotTwin
100793,200404,300404,NotTwin
100794,200167,300167,NotTwin
100795,200038,300038,NotTwin
100796,200137,300137,MZ
100797,200340,300340,NotMZ
100798,200296,300296,NotMZ
100799,200443,300443,NotTwin
100800,200336,300336,NotTwin
100801,200363,300363,NotTwin
100802,200428,300428,NotTwin
100803,200303,300303,NotTwin
100804,200102,300102,NotTwin
100805,200079,300079,MZ
100806,200402,300402,NotTwin
100807,200374,300374,NotMZ
